Date,Gold,Inflation,Exchnage_rate,Petrochemical,Oil,dominant_score
2021-03-01,17.433332,0.004,3.75,69.900002,28.429752,0
2021-03-02,17.5,-0.004,3.746846,69.699997,28.471073,1
2021-03-03,17.299999,-0.0058,3.746639,69.5,28.471073,1
2021-03-04,17.233334,-0.013300000000000001,3.747313,69.900002,28.925619,1
2021-03-07,17.066666,0.0076,3.747313,69.400002,29.214876,1
2021-03-08,17.233334,-0.0018,3.7513,68.199997,29.586777,0
2021-03-09,17.1,0.0076,3.7486,68.400002,29.66942,0
2021-03-10,17.133333,0.0116,3.747454,68.800003,29.504131,1
2021-03-11,17.433332,-0.0115,3.746363,69.099998,29.586777,0
2021-03-14,17.5,0.008100000000000001,3.746363,69.0,29.586777,1
2021-03-15,17.299999,-0.0115,3.7501,70.0,29.545454,0
2021-03-16,17.1,-0.0058,3.746798,69.400002,29.545454,1
2021-03-17,17.066666,0.0034999999999999996,3.746155,69.300003,29.462809,0
2021-03-18,17.166666,0.0058,3.745772,68.699997,29.29752,1
2021-03-21,17.133333,0.0174,3.745772,66.300003,28.966942,1
2021-03-22,17.5,0.0023,3.7504,66.400002,29.256199,1
2021-03-23,17.4,-0.008,3.746319,66.599998,29.173553,1
2021-03-24,17.433332,-0.0034000000000000002,3.746143,67.199997,28.925619,1
2021-03-25,17.366667,0.0034999999999999996,3.745836,67.599998,28.925619,1
2021-03-28,17.566666,0.0425,3.745836,67.199997,28.677685,1
2021-03-29,18.233334,0.0363,3.7499,70.0,28.636362,1
2021-03-30,18.766666,-0.0069,3.746298,70.099998,29.049585,1
2021-03-31,18.966665,0.016,3.74606,69.699997,29.752066,1
2021-04-01,18.866667,-0.0089,3.746252,69.300003,29.545454,1
2021-04-04,18.799999,0.0127,3.746252,69.300003,29.29752,1
2021-04-05,19.200001,0.0189,3.75,69.199997,29.29752,1
2021-04-06,19.433332,-0.022099999999999998,3.747285,69.0,29.338842,0
2021-04-07,19.0,0.0174,3.746262,70.199997,29.29752,0
2021-04-08,19.333332,-0.013500000000000002,3.74622,69.900002,29.29752,1
2021-04-11,19.066666,-0.0037,3.74622,70.0,29.421488,1
2021-04-12,18.700001,-0.0105,3.7497,69.400002,29.380165,1
2021-04-13,18.666666,-0.0197,3.745813,69.599998,29.380165,1
2021-04-14,18.266666,0.0038,3.746819,69.0,29.29752,1
2021-04-15,18.5,0.027000000000000003,3.746531,69.800003,29.338842,1
2021-04-18,19.066666,0.0053,3.746531,71.099998,29.338842,1
2021-04-19,19.1,-0.0016,3.749,72.5,29.380165,1
2021-04-20,19.0,0.0121,3.746439,73.5,29.338842,1
2021-04-21,19.166666,-0.0067,3.746369,72.5,29.29752,1
2021-04-22,19.166666,0.015600000000000001,3.746143,70.400002,29.256199,0
2021-04-25,19.466665,0.020499999999999997,3.746143,70.699997,29.256199,0
2021-04-26,20.0,-0.018600000000000002,3.7497,71.400002,29.173553,1
2021-04-27,19.299999,-0.0256,3.746245,73.400002,29.173553,1
2021-04-28,19.066666,0.0174,3.746574,73.099998,29.380165,1
2021-04-29,19.333332,-0.011899999999999999,3.746117,73.300003,29.462809,1
